person,contributor_group,homepage,paper,year,paper_url,doi,discovery_source,status,topics
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,A Real-to-Sim-to-Real Approach to Robotic Manipulation with VLM-Generated Iterative Keypoint Rewards,2025,https://doi.org/10.1109/icra55743.2025.11127585,10.1109/icra55743.2025.11127585,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,SafeMimic: Towards Safe and Autonomous Human-to-Robot Imitation for Mobile Manipulation,2025,https://doi.org/10.15607/rss.2025.xxi.128,10.15607/rss.2025.xxi.128,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,M-EMBER: Tackling Long-Horizon Mobile Manipulation via Factorized Domain Transfer,2023,https://doi.org/10.1109/icra48891.2023.10160934,10.1109/icra48891.2023.10160934,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,BiFlex: A Passive Bimodal Stiffness Flexible Wrist for Manipulation in Unstructured Environments,2025,https://doi.org/10.1109/lra.2025.3605095,10.1109/lra.2025.3605095,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,BUMBLE: Unifying Reasoning and Acting with Vision-Language Models for Building-wide Mobile Manipulation,2025,https://doi.org/10.1109/icra55743.2025.11128444,10.1109/icra55743.2025.11128444,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,Launching Queer in Robotics [Women in Engineering],2024,https://doi.org/10.1109/mra.2024.3388277,10.1109/mra.2024.3388277,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,FLaRe: Achieving Masterful and Adaptive Robot Policies with Large-Scale Reinforcement Learning Fine-Tuning,2025,https://doi.org/10.1109/icra55743.2025.11127934,10.1109/icra55743.2025.11127934,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,Deep Reinforcement Learning for Robotics: A Survey of Real-World Successes,2025,https://doi.org/10.1146/annurev-control-030323-022510,10.1146/annurev-control-030323-022510,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,GeT-USE: Learning Generalized Tool Usage for Bimanual Mobile Manipulation via Simulated Embodiment Extensions,2025,https://doi.org/10.1109/iros60139.2025.11245978,10.1109/iros60139.2025.11245978,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,BaRiFlex: A Robotic Gripper with Versatility and Collision Robustness for Robot Learning,2024,https://doi.org/10.1109/iros58592.2024.10802024,10.1109/iros58592.2024.10802024,Crossref,candidate_needs_fulltext_verification,
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,JRDB: A Dataset and Benchmark of Egocentric Robot Visual Perception of Humans in Built Environments,2023,https://doi.org/10.1109/tpami.2021.3070543,10.1109/tpami.2021.3070543,Crossref,candidate_needs_fulltext_verification,
Silvio Savarese,Supporting Team,http://cvgl.stanford.edu/silvio/,ACID: Action-Conditional Implicit Visual Dynamics for Deformable Object Manipulation,2022,https://doi.org/10.15607/rss.2022.xviii.001,10.15607/rss.2022.xviii.001,Crossref,candidate_needs_fulltext_verification,
Silvio Savarese,Supporting Team,http://cvgl.stanford.edu/silvio/,Action-conditional implicit visual dynamics for deformable object manipulation,2023,https://doi.org/10.1177/02783649231191222,10.1177/02783649231191222,Crossref,candidate_needs_fulltext_verification,
Silvio Savarese,Supporting Team,http://cvgl.stanford.edu/silvio/,Sonicverse: A Multisensory Simulation Platform for Embodied Household Agents that See and Hear,2023,https://doi.org/10.1109/icra48891.2023.10160461,10.1109/icra48891.2023.10160461,Crossref,candidate_needs_fulltext_verification,
Silvio Savarese,Supporting Team,http://cvgl.stanford.edu/silvio/,JRDB: A Dataset and Benchmark of Egocentric Robot Visual Perception of Humans in Built Environments,2023,https://doi.org/10.1109/tpami.2021.3070543,10.1109/tpami.2021.3070543,Crossref,candidate_needs_fulltext_verification,
Karen Liu,Supporting Team,https://profiles.stanford.edu/c-karen-liu,DexCap: Scalable and Portable Mocap Data Collection System for Dexterous Manipulation,2024,https://doi.org/10.15607/rss.2024.xx.043,10.15607/rss.2024.xx.043,Crossref,candidate_needs_fulltext_verification,
Sanjana Srivastava,Core Team,https://www.linkedin.com/in/sanjana-srivastava5/,Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making,2024,https://doi.org/10.52202/079017-3188,10.52202/079017-3188,Crossref,candidate_needs_fulltext_verification,
Chen Wang,Alumni,https://www.chenwangjeremy.net/,Fin-Wave-Inspired Wireless Small-Scale Soft Robot for Adaptive Amphibious Locomotion Under Single-Mode Magnetic Field,2024,https://doi.org/10.1109/marss61851.2024.10612739,10.1109/marss61851.2024.10612739,Crossref,candidate_needs_fulltext_verification,
Dhruva Bansal,Alumni,https://dhruvabansal.com/,Learning instance-level N-ary semantic knowledge at scale for robots operating in everyday environments,2023,https://doi.org/10.1007/s10514-023-10099-4,10.1007/s10514-023-10099-4,Crossref,candidate_needs_fulltext_verification,
